12	10	E	-8069052.842542486	51
emissionprobs	6	0	H2AFZ	0	0.999818014610667
emissionprobs	6	0	H2AFZ	1	1.8198538933302615E-4
emissionprobs	6	1	H3K27ac	0	0.9862432230915883
emissionprobs	6	1	H3K27ac	1	0.013756776908411664
emissionprobs	6	2	H3K27me3	0	0.9998035129134313
emissionprobs	6	2	H3K27me3	1	1.964870865686954E-4
emissionprobs	6	3	H3K36me3	0	0.9443356023808658
emissionprobs	6	3	H3K36me3	1	0.05566439761913423
emissionprobs	6	4	H3K4me1	0	0.9794995771063382
emissionprobs	6	4	H3K4me1	1	0.02050042289366179
emissionprobs	6	5	H3K4me2	0	0.9950300118039557
emissionprobs	6	5	H3K4me2	1	0.004969988196044331
emissionprobs	6	6	H3K4me3	0	0.9999816383753706
emissionprobs	6	6	H3K4me3	1	1.836162462941322E-5
emissionprobs	6	7	H3K79me2	0	0.33570199599409944
emissionprobs	6	7	H3K79me2	1	0.6642980040059006
emissionprobs	6	8	H3K9ac	0	0.9800551596300088
emissionprobs	6	8	H3K9ac	1	0.01994484036999124
emissionprobs	6	9	H3K9me3	0	0.9954526969309002
emissionprobs	6	9	H3K9me3	1	0.004547303069099883
emissionprobs	7	0	H2AFZ	0	0.9981632511579619
emissionprobs	7	0	H2AFZ	1	0.001836748842038149
emissionprobs	7	1	H3K27ac	0	0.7156996006674738
emissionprobs	7	1	H3K27ac	1	0.28430039933252627
emissionprobs	7	2	H3K27me3	0	0.9997576598468831
emissionprobs	7	2	H3K27me3	1	2.4234015311683203E-4
emissionprobs	7	3	H3K36me3	0	0.575048751489652
emissionprobs	7	3	H3K36me3	1	0.42495124851034805
emissionprobs	7	4	H3K4me1	0	0.13995397366620801
emissionprobs	7	4	H3K4me1	1	0.860046026333792
emissionprobs	7	5	H3K4me2	0	0.3696886533497135
emissionprobs	7	5	H3K4me2	1	0.6303113466502865
emissionprobs	7	6	H3K4me3	0	0.7833661981875066
emissionprobs	7	6	H3K4me3	1	0.21663380181249337
emissionprobs	7	7	H3K79me2	0	0.05573921470838574
emissionprobs	7	7	H3K79me2	1	0.9442607852916143
emissionprobs	7	8	H3K9ac	0	0.7652220886276947
emissionprobs	7	8	H3K9ac	1	0.23477791137230525
emissionprobs	7	9	H3K9me3	0	0.9945733304051507
emissionprobs	7	9	H3K9me3	1	0.005426669594849342
emissionprobs	8	0	H2AFZ	0	0.533634793804165
emissionprobs	8	0	H2AFZ	1	0.4663652061958349
emissionprobs	8	1	H3K27ac	0	0.17658177210422463
emissionprobs	8	1	H3K27ac	1	0.8234182278957755
emissionprobs	8	2	H3K27me3	0	0.9988846253902417
emissionprobs	8	2	H3K27me3	1	0.001115374609758211
emissionprobs	8	3	H3K36me3	0	0.8774077663962606
emissionprobs	8	3	H3K36me3	1	0.12259223360373936
emissionprobs	8	4	H3K4me1	0	0.33741609016363744
emissionprobs	8	4	H3K4me1	1	0.6625839098363626
emissionprobs	8	5	H3K4me2	0	0.006702900878702366
emissionprobs	8	5	H3K4me2	1	0.9932970991212977
emissionprobs	8	6	H3K4me3	0	0.009254242786100366
emissionprobs	8	6	H3K4me3	1	0.9907457572138997
emissionprobs	8	7	H3K79me2	0	0.024976593895984247
emissionprobs	8	7	H3K79me2	1	0.9750234061040157
emissionprobs	8	8	H3K9ac	0	0.018458879194796805
emissionprobs	8	8	H3K9ac	1	0.9815411208052032
emissionprobs	8	9	H3K9me3	0	0.9976357910513618
emissionprobs	8	9	H3K9me3	1	0.002364208948638275
emissionprobs	9	0	H2AFZ	0	0.20453026048542192
emissionprobs	9	0	H2AFZ	1	0.795469739514578
emissionprobs	9	1	H3K27ac	0	0.19596532422196009
emissionprobs	9	1	H3K27ac	1	0.80403467577804
emissionprobs	9	2	H3K27me3	0	0.9666627745207435
emissionprobs	9	2	H3K27me3	1	0.03333722547925669
emissionprobs	9	3	H3K36me3	0	0.9978040180892743
emissionprobs	9	3	H3K36me3	1	0.0021959819107256287
emissionprobs	9	4	H3K4me1	0	0.2870845572449164
emissionprobs	9	4	H3K4me1	1	0.7129154427550837
emissionprobs	9	5	H3K4me2	0	0.014813282138143468
emissionprobs	9	5	H3K4me2	1	0.9851867178618566
emissionprobs	9	6	H3K4me3	0	0.02962872364406799
emissionprobs	9	6	H3K4me3	1	0.9703712763559321
emissionprobs	9	7	H3K79me2	0	0.9238577549933717
emissionprobs	9	7	H3K79me2	1	0.07614224500662828
emissionprobs	9	8	H3K9ac	0	0.05290490259024931
emissionprobs	9	8	H3K9ac	1	0.9470950974097507
emissionprobs	9	9	H3K9me3	0	0.9961386578333216
emissionprobs	9	9	H3K9me3	1	0.003861342166678396
emissionprobs	10	0	H2AFZ	0	0.7481562270765045
emissionprobs	10	0	H2AFZ	1	0.25184377292349536
emissionprobs	10	1	H3K27ac	0	0.033343163902907334
emissionprobs	10	1	H3K27ac	1	0.9666568360970927
emissionprobs	10	2	H3K27me3	0	0.9988775680762696
emissionprobs	10	2	H3K27me3	1	0.001122431923730424
emissionprobs	10	3	H3K36me3	0	0.9591293893102313
emissionprobs	10	3	H3K36me3	1	0.04087061068976884
emissionprobs	10	4	H3K4me1	0	0.007149644092916123
emissionprobs	10	4	H3K4me1	1	0.9928503559070839
emissionprobs	10	5	H3K4me2	0	0.5916658925086686
emissionprobs	10	5	H3K4me2	1	0.4083341074913313
emissionprobs	10	6	H3K4me3	0	0.9698139720257883
emissionprobs	10	6	H3K4me3	1	0.030186027974211743
emissionprobs	10	7	H3K79me2	0	0.9330800283671198
emissionprobs	10	7	H3K79me2	1	0.0669199716328803
emissionprobs	10	8	H3K9ac	0	0.4197839889743114
emissionprobs	10	8	H3K9ac	1	0.5802160110256886
emissionprobs	10	9	H3K9me3	0	0.9863638745314554
emissionprobs	10	9	H3K9me3	1	0.013636125468544634
emissionprobs	11	0	H2AFZ	0	0.9210245935155869
emissionprobs	11	0	H2AFZ	1	0.07897540648441315
emissionprobs	11	1	H3K27ac	0	0.7950446295390411
emissionprobs	11	1	H3K27ac	1	0.204955370460959
emissionprobs	11	2	H3K27me3	0	0.9971616473646725
emissionprobs	11	2	H3K27me3	1	0.0028383526353274896
emissionprobs	11	3	H3K36me3	0	0.9784824294141882
emissionprobs	11	3	H3K36me3	1	0.02151757058581184
emissionprobs	11	4	H3K4me1	0	0.4464553308512817
emissionprobs	11	4	H3K4me1	1	0.5535446691487184
emissionprobs	11	5	H3K4me2	0	0.9906647537215164
emissionprobs	11	5	H3K4me2	1	0.00933524627848359
emissionprobs	11	6	H3K4me3	0	0.9999685379340738
emissionprobs	11	6	H3K4me3	1	3.146206592609235E-5
emissionprobs	11	7	H3K79me2	0	0.9924611929193828
emissionprobs	11	7	H3K79me2	1	0.0075388070806171265
emissionprobs	11	8	H3K9ac	0	0.94495217276485
emissionprobs	11	8	H3K9ac	1	0.05504782723515004
emissionprobs	11	9	H3K9me3	0	0.9926719532686388
emissionprobs	11	9	H3K9me3	1	0.007328046731361183
